0000003225,scans,0000000130,DataLength
"header",0000000040,"lines"
"Date",3/29/2016,"Time",4:03:14 PM
"ID","HAL IDP LOW ENERGY #14936","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
00:03:28,    208484,        620,        350,       1560,     153560,      33360,       4630,       3100,       1480,      10580,
00:03:29,    209548,        780,        350,       1310,     150830,      31660,       4800,       2930,       1580,      10700,
00:03:30,    210611,        610,        410,       1450,     150600,      31940,       4590,       3100,       1750,      11100,
00:03:31,    211674,        660,        390,       1300,     149100,      32270,       4370,       3030,       1800,      11000,
00:03:32,    212738,        460,        400,       1790,     145390,      31900,       4750,       2780,       1930,      11470,
00:03:33,    213801,        590,        340,       1290,     149060,      32570,       4750,       2980,       1850,      10360,
00:03:34,    214864,        770,        240,       1130,     148110,      32020,       4230,       2420,       1690,       9940,
00:03:35,    215928,        490,        370,       1350,     149910,      32150,       4780,       2800,       1750,      10460,
00:03:36,    216991,        590,        420,       1290,     148540,      32250,       4500,       2710,       1610,      11000,
00:03:38,    218054,        770,        430,       1180,     151040,      31630,       4640,       2280,       1670,      10510,
00:03:39,    219118,        590,        460,       1390,     151790,      32350,       5030,       2960,       1890,      10230,
00:03:40,    220181,        670,        270,       1330,     149280,      31330,       4980,       2880,       1550,      10560,
00:03:41,    221244,        760,        320,       1280,     148850,      31790,       4340,       2840,       1620,      10790,
00:03:42,    222308,        780,        230,       1370,     147060,      32230,       4460,       3270,       1530,      10370,
00:03:43,    223371,        750,        410,       1140,     148870,      32280,       4540,       2400,       1770,      10540,
00:03:44,    224434,        790,        290,       1430,     147850,      32630,       4310,       2690,       1520,      10110,
00:03:45,    225498,        760,        230,       1420,     148460,      31450,       4390,       2890,       1540,      10880,
00:03:46,    226561,        700,        400,       1360,     147540,      33540,       4740,       2420,       1930,      10000,
00:03:47,    227624,        570,        350,       1430,     143440,      31900,       3950,       2920,       1700,      10020,
00:03:48,    228688,        630,        310,       1330,     143200,      32960,       4240,       2440,       1420,      10960,
00:03:49,    229751,        520,        310,       1240,     146860,      32310,       4310,       3010,       1720,      10350,
00:03:50,    230814,        610,        470,       1490,     148020,      32730,       4870,       2710,       1700,      10880,
00:03:51,    231878,        640,        470,       1350,     146510,      33360,       4260,       2830,       1530,      10280,
00:03:52,    232941,        630,        380,       1150,     144660,      32140,       4480,       3120,       1330,      10450,
00:03:54,    234004,        630,        370,       1440,     146770,      32530,       4790,       2890,       1580,      10740,
00:03:55,    235068,        580,        350,       1550,     145510,      32550,       4720,       2600,       1450,      11140,
00:03:56,    236131,        570,        340,       1160,     146650,      32250,       4640,       2570,       1970,      10900,
00:03:57,    237194,        550,        320,       1440,     146770,      32020,       4530,       2850,       1550,      10800,
00:03:58,    238258,        620,        450,       1400,     146850,      32030,       5160,       2510,       1530,      10790,
00:03:59,    239321,        610,        450,       1330,     143390,      31960,       4540,       2760,       1570,       9990,
00:04:00,    240384,        600,        250,       1480,     148660,      31420,       4510,       2700,       1350,       9820,
00:04:01,    241448,        590,        330,       1200,     147060,      31830,       3970,       2650,       1620,      10260,
00:04:02,    242511,        610,        370,       1330,     143200,      32710,       4290,       2700,       1830,      10920,
00:04:03,    243574,        640,        470,       1320,     148480,      33190,       4550,       2690,       1590,      10080,
00:04:04,    244638,        510,        250,       1850,     144730,      32410,       4100,       2980,       1220,      10010,
00:04:05,    245701,        610,        310,       1240,     145300,      31930,       4030,       2520,       1540,      10220,
00:04:06,    246764,        740,        470,       1340,     144970,      32440,       4300,       2430,       1640,       9650,
00:04:07,    247828,        660,        410,       1350,     143530,      32320,       4260,       3070,       1420,       9960,
00:04:08,    248891,        720,        300,       1440,     143030,      34140,       4510,       2780,       1770,      10550,
00:04:09,    249954,        500,        380,       1090,     145660,      32280,       4380,       2270,       1700,      10070,
00:04:11,    251018,        650,        380,       1250,     143260,      33640,       4520,       2480,       1560,      10250,
00:04:12,    252081,        480,        380,       1370,     143830,      32150,       3880,       2580,       1290,      10430,
00:04:13,    253144,        500,        410,       1010,     141010,      31640,       4560,       2710,       1680,      10360,
00:04:14,    254208,        620,        400,       1170,     142820,      32410,       4310,       2810,       1880,      10940,
00:04:15,    255271,        570,        250,       1270,     143720,      32050,       4120,       2470,       1770,       9660,
00:04:16,    256334,        550,        340,       1160,     142850,      31460,       4440,       2520,       1510,      10260,
00:04:17,    257398,        740,        460,       1470,     143610,      31700,       4200,       2850,       1650,      10870,
00:04:18,    258461,        460,        410,       1300,     140650,      31850,       4370,       2510,       1680,      11150,
00:04:19,    259524,        820,        350,       1410,     140790,      31030,       4490,       2610,       1640,      10090,
00:04:20,    260588,        450,        270,       1390,     143730,      31890,       4760,       2980,       1290,      10050,
00:04:21,    261651,        510,        370,       1590,     142080,      33360,       4240,       2890,       1590,      10280,
00:04:22,    262714,        560,        350,       1350,     141710,      31810,       4440,       2590,       1510,      10420,
00:04:23,    263778,        490,        360,       1280,     142830,      32000,       4490,       2490,       1370,      10060,
00:04:24,    264841,        590,        370,       1200,     146340,      32300,       4170,       3000,       1590,      10310,
00:04:25,    265904,        590,        380,       1310,     141640,      31940,       4210,       2900,       2020,      10600,
00:04:26,    266968,        720,        240,       1140,     140720,      31680,       4380,       2620,       1810,       9950,
00:04:28,    268031,        710,        320,       1560,     142590,      31970,       4690,       3000,       1440,      10290,
00:04:29,    269094,        480,        310,       1030,     139820,      31420,       4610,       2670,       1440,      10300,
00:04:30,    270158,        660,        390,       1280,     140800,      31160,       4210,       2480,       1350,      10160,
00:04:31,    271221,        580,        410,       1150,     141240,      32110,       4900,       3000,       1590,      10640,
00:04:32,    272284,        600,        240,       1290,     139440,      31570,       4420,       2600,       1470,      10260,
00:04:33,    273348,        400,        320,       1300,     138010,      32340,       4440,       2790,       1590,      10950,
00:04:34,    274411,        500,        290,       1110,     141290,      31930,       4360,       2980,       1530,      10240,
00:04:35,    275474,        600,        440,       1390,     138010,      32300,       4410,       2480,       1550,      10290,
00:04:36,    276538,        720,        340,       1140,     140860,      33320,       4910,       2840,       1430,      10580,
00:04:37,    277601,        600,        390,       1220,     139810,      32300,       4460,       2770,       1570,      10740,
00:04:38,    278664,        520,        320,       1250,     137770,      32600,       4310,       2710,       1400,       9470,
00:04:39,    279728,        700,        340,       1300,     140060,      31960,       4900,       2770,       1500,      10210,
00:04:40,    280791,        550,        230,       1200,     139110,      33400,       4380,       2480,       1470,      10890,
00:04:41,    281854,        560,        370,       1250,     142260,      32800,       3920,       2590,       1560,      10310,
00:04:42,    282918,        690,        350,       1220,     140480,      32720,       4480,       2470,       2000,      10080,
00:04:43,    283981,        520,        300,       1360,     140410,      33220,       4070,       2710,       1840,      10730,
00:04:45,    285044,        500,        430,       1370,     143330,      32240,       4580,       2880,       1480,      10350,
00:04:46,    286108,        660,        370,       1430,     139390,      32350,       4150,       2570,       1370,      10240,
00:04:47,    287171,        740,        410,       1290,     140290,      32350,       4370,       2990,       1670,      10230,
00:04:48,    288234,        600,        210,       1330,     138550,      30320,       4830,       2810,       1670,      10530,
00:04:49,    289298,        770,        380,       1210,     139460,      31670,       4690,       2640,       1680,      10360,
